,Title,Date,Time,Score,Number of Comments
119,Carter Page now a no comment on FBI investigations,2017-04-13,02:29:38,2580,166
120,Trump flips on four policies in one day,2017-04-13,01:09:32,3313,284
121,Sanders: Trump will be a one-term president,2017-04-13,05:00:20,1374,293
122,George W. Bush Calls Foreign Aid A Moral And Security Imperative,2017-04-13,14:36:47,197,17
123,North Carolina GOP Lawmaker Calls Abraham Lincoln a Tyrant Like Adolf Hitler,2017-04-13,04:38:04,1194,175
124,Sessions Is Surprised At Public Backlash To His Marijuana Rhetoric,2017-04-12,20:41:18,6247,818
125,Sanders: Dems win if we mobilize & educate,2017-04-13,06:44:04,810,110
126,"Its not too late to get rid of FBI Director James Comey, Trump says",2017-04-12,17:42:17,18217,2774
127,The First Woman Muslim Judge In The US Has Been Found Dead In A New York River,2017-04-13,15:31:16,132,40
128,Prediction prof: Trump will be impeached,2017-04-13,14:43:48,147,19
129,Donald Trump Forgot Which Country He Just Bombed,2017-04-13,08:06:17,483,59
130,Donald Trump recounts eating the most beautiful piece of chocolate cake with Xi Jinping while launching missiles heading to Iraq,2017-04-12,20:29:29,4481,784
131,FBI says Jeff Sessions pick for Trump team was an alleged Russian agent,2017-04-12,19:59:03,5107,421
132,"Susan Rice was in the right, and Devin Nunes was oh so wrong: Report",2017-04-13,12:11:45,213,21
133,Donald Trump says Nato is no longer obsolete as he thanks alliance members for condemning Syria chemical attack,2017-04-13,00:19:35,1769,148
134,Donald Trump just keeps saying things that arent true,2017-04-12,20:17:58,3983,161
135,Texas Doesnt Want Trumps Wall Either,2017-04-13,15:41:22,102,18
136,"Trump the most psychologically ill-equipped  US president ever, says Gareth Evans",2017-04-13,08:52:16,343,17
137,United dragging incident fuels push for passenger rights | TheHill,2017-04-13,15:19:03,106,15
138,Jared and Ivanka Are Not Good People. They Are Enablers.,2017-04-13,06:18:03,552,19
139,White House budget director says Trump promise to eliminate debt was just hyperbole,2017-04-12,21:15:53,2856,182
140,N.C. Representative Larry Pittman Calls Abraham Lincoln the Same Sort [of] Tyrant as Hitler and We Are Not Even Making That Up,2017-04-13,00:53:19,1401,179
141,Manafort Firm Received Ukraine Ledger Payout,2017-04-12,15:12:43,17243,1373
142,Shocker: Donald Trump Also Sounds Illiterate On Tax Policy,2017-04-12,21:46:08,2401,131
143,Did he or didnt he? Trump contradicts himself on whether he knew Steve Bannon,2017-04-12,16:52:49,7618,589
